COD_CLIENTE;DATA_CADASTRO;DATA_NASCIMENTO;CELULAR_VALIDO;E_MAIL_VALIDO;OPT_OUT;Idade;Faixa_Idade;DATA_PRIMEIRA_COMPRA;DIAS_ATE_1A_COMPRA
39185344;22/01/2024;11/06/1972;Não;Sim;Não;53;>=51;27/01/2025;371
39690076;27/06/2024;25/10/1959;Não;Sim;Não;65;>=51;04/01/2025;191
36158508;07/04/2025;15/12/2012;Não;Sim;Não;12;<=20;07/04/2025;0
39223651;01/03/2025;16/01/1990;Não;Sim;Não;35;31 a 40;01/03/2025;0
38928474;15/03/2025;31/12/1999;Não;Sim;Não;25;21 a 30;15/03/2025;0
40572494;20/03/2025;29/02/1996;Não;Sim;Não;29;21 a 30;20/03/2025;0
39458192;15/04/2024;20/06/2000;Não;Sim;Não;25;21 a 30;29/01/2025;289
40403375;05/02/2025;06/11/1960;Não;Sim;Não;64;>=51;05/02/2025;0
39385661;23/03/2024;11/01/1987;Não;Sim;Não;38;31 a 40;22/02/2025;336
39755252;16/07/2024;30/03/1979;Não;Sim;Não;46;41 a 50;12/04/2025;270
39115798;25/02/2024;10/06/1978;Não;Sim;Não;47;41 a 50;23/01/2025;333
39885393;25/08/2024;09/03/1987;Não;Sim;Não;38;31 a 40;03/01/2025;131
40188931;27/04/2025;04/03/1980;Não;Sim;Não;45;41 a 50;27/04/2025;0
40543478;06/03/2025;09/07/2006;Não;Sim;Não;18;<=20;06/03/2025;0
40638198;28/03/2025;03/03/2001;Não;Sim;Não;24;21 a 30;28/03/2025;0
39613074;03/06/2024;05/10/1992;Não;Sim;Não;32;31 a 40;06/02/2025;248
40037490;15/10/2024;25/09/1972;Não;Sim;Não;52;>=51;02/01/2025;79
40542700;06/03/2025;09/10/1986;Não;Sim;Não;38;31 a 40;10/03/2025;4
40304108;02/01/2025;17/07/1989;Não;Sim;Não;35;31 a 40;14/01/2025;12
39440255;23/01/2025;15/07/1977;Não;Sim;Não;47;41 a 50;23/01/2025;0
40422536;16/03/2025;19/11/1997;Não;Sim;Não;27;21 a 30;17/03/2025;1
39322190;03/03/2024;22/01/1999;Não;Sim;Não;26;21 a 30;25/02/2025;359
39743269;16/07/2024;02/08/1992;Não;Sim;Não;32;31 a 40;09/01/2025;177
38247197;01/06/2024;10/06/2002;Não;Sim;Sim;23;21 a 30;11/01/2025;224
38927338;27/05/2024;11/01/1969;Não;Sim;Sim;56;>=51;06/03/2025;283
40301960;02/01/2025;10/04/2000;Não;Sim;Não;25;21 a 30;02/01/2025;0
40311938;06/01/2025;30/01/2006;Não;Sim;Não;19;<=20;06/01/2025;0
40603230;15/03/2025;02/02/1998;Não;Sim;Não;27;21 a 30;15/03/2025;0
39679158;23/06/2024;22/05/2001;Não;Sim;Não;24;21 a 30;10/01/2025;201
39181379;21/01/2024;08/06/2004;Não;Sim;Não;21;21 a 30;16/01/2025;361
44004867;13/07/2024;28/02/1987;Não;Sim;Sim;38;31 a 40;07/01/2025;178
39626160;03/07/2024;10/03/1993;Não;Sim;Não;32;31 a 40;10/01/2025;191
40026909;12/10/2024;30/04/1997;Não;Sim;Sim;28;21 a 30;11/01/2025;91
40320486;07/01/2025;21/09/1959;Não;Sim;Não;65;>=51;07/01/2025;0
40414323;09/02/2025;07/11/2000;Não;Sim;Não;24;21 a 30;09/02/2025;0
40215486;05/12/2024;12/08/1982;Não;Sim;Não;42;41 a 50;03/01/2025;29
40374717;29/01/2025;08/06/1983;Não;Sim;Não;42;41 a 50;29/01/2025;0
61011922;23/02/2025;31/05/1983;Não;Sim;Não;42;41 a 50;23/02/2025;0
39139168;09/01/2024;20/09/2006;Não;Sim;Não;18;<=20;09/02/2025;397
39947191;14/09/2024;19/02/1986;Não;Sim;Não;39;31 a 40;09/02/2025;148
40438531;17/02/2025;27/07/1981;Não;Sim;Não;43;41 a 50;17/02/2025;0
40081317;31/03/2025;26/05/1979;Não;Sim;Não;46;41 a 50;31/03/2025;0
40401332;05/02/2025;29/12/1998;Não;Sim;Não;26;21 a 30;05/02/2025;0
40055150;21/10/2024;16/01/1979;Não;Sim;Não;46;41 a 50;25/03/2025;155
40132828;24/11/2024;27/09/2004;Não;Sim;Não;20;<=20;28/01/2025;65
39765848;19/07/2024;06/06/1983;Não;Sim;Não;42;41 a 50;01/02/2025;197
38598802;10/06/2024;11/08/1995;Não;Sim;Não;29;21 a 30;03/01/2025;207
36522073;13/04/2025;07/01/1994;Não;Sim;Não;31;31 a 40;13/04/2025;0
40394236;02/02/2025;18/05/1984;Não;Sim;Não;41;41 a 50;02/02/2025;0
36598101;17/04/2025;14/03/1983;Não;Sim;Não;42;41 a 50;17/04/2025;0
39686871;17/07/2024;16/01/1987;Não;Sim;Não;38;31 a 40;07/01/2025;174
39291285;23/02/2024;07/05/2004;Não;Sim;Não;21;21 a 30;24/04/2025;426
39440385;09/04/2024;26/08/1975;Não;Sim;Sim;49;41 a 50;17/01/2025;283
40114071;09/11/2024;20/04/2006;Não;Sim;Não;19;<=20;08/01/2025;60
39839823;11/08/2024;07/07/2000;Não;Sim;Não;24;21 a 30;26/01/2025;168
36681374;22/04/2025;19/05/1981;Não;Sim;Não;44;41 a 50;22/04/2025;0
39769841;20/07/2024;01/03/1986;Não;Sim;Sim;39;31 a 40;21/01/2025;185
39689693;27/06/2024;09/08/1998;Não;Sim;Não;26;21 a 30;30/01/2025;217
40342857;15/01/2025;10/04/2002;Não;Sim;Não;23;21 a 30;21/01/2025;6
39610147;02/06/2024;23/03/1990;Não;Sim;Não;35;31 a 40;05/01/2025;217
39295038;24/02/2024;27/02/1971;Não;Sim;Não;54;>=51;26/01/2025;337
39373390;19/03/2024;24/04/1981;Não;Sim;Não;44;41 a 50;03/02/2025;321
39671744;21/06/2024;03/05/2004;Não;Sim;Não;21;21 a 30;20/02/2025;244
39515468;04/05/2024;30/09/2000;Não;Sim;Não;24;21 a 30;04/04/2025;335
40114970;09/11/2024;10/09/1988;Não;Sim;Sim;36;31 a 40;23/01/2025;75
39201102;22/06/2024;04/06/1966;Não;Sim;Sim;59;>=51;24/02/2025;247
40574213;08/03/2025;14/04/1980;Não;Sim;Não;45;41 a 50;08/03/2025;0
40552784;02/05/2024;16/02/1982;Não;Sim;Sim;43;41 a 50;24/01/2025;267
36348181;09/04/2025;19/01/1984;Não;Sim;Não;41;41 a 50;09/04/2025;0
40600791;14/03/2025;13/07/1991;Não;Sim;Não;33;31 a 40;14/03/2025;0
49012316;16/09/2024;18/08/1992;Não;Sim;Não;32;31 a 40;17/03/2025;182
40504457;10/03/2024;03/08/1975;Não;Sim;Não;49;41 a 50;30/01/2025;326
39218094;01/02/2024;29/09/1976;Não;Sim;Não;48;41 a 50;27/02/2025;392
40351016;18/01/2025;07/05/2003;Não;Sim;Não;22;21 a 30;18/01/2025;0
39156765;14/01/2024;30/12/1980;Não;Sim;Não;44;41 a 50;02/01/2025;354
40150150;18/11/2024;06/04/1988;Não;Sim;Não;37;31 a 40;09/02/2025;83
39113450;02/01/2024;16/05/1997;Não;Sim;Não;28;21 a 30;10/01/2025;374
39955094;16/09/2024;05/12/1986;Não;Sim;Não;38;31 a 40;21/01/2025;127
39435400;11/04/2024;17/02/1997;Não;Sim;Não;28;21 a 30;25/01/2025;289
40628707;24/03/2025;24/12/1987;Não;Sim;Não;37;31 a 40;24/03/2025;0
37546102;20/10/2024;17/05/2000;Não;Sim;Não;25;21 a 30;05/01/2025;77
39643739;12/06/2024;01/07/1980;Não;Sim;Não;44;41 a 50;26/01/2025;228
39110842;28/01/2024;09/11/2007;Não;Sim;Não;17;<=20;07/01/2025;345
40324243;14/12/2024;06/04/1960;Não;Sim;Sim;65;>=51;15/01/2025;32
39156701;09/01/2025;11/03/1998;Não;Sim;Não;27;21 a 30;16/01/2025;7
39534992;12/05/2024;07/10/2001;Não;Sim;Não;23;21 a 30;09/01/2025;242
40563915;07/03/2025;29/12/2000;Não;Sim;Não;24;21 a 30;07/03/2025;0
39495723;09/06/2024;26/09/1985;Não;Sim;Não;39;31 a 40;19/03/2025;283
40178309;26/11/2024;04/11/1995;Não;Sim;Não;29;21 a 30;23/01/2025;58
40570480;07/03/2025;22/05/1995;Não;Sim;Não;30;21 a 30;07/03/2025;0
39998023;01/10/2024;06/09/1980;Não;Sim;Sim;44;41 a 50;06/04/2025;187
39554941;16/05/2024;16/12/1971;Não;Sim;Não;53;>=51;02/02/2025;262
36581856;16/04/2025;23/08/2001;Não;Sim;Sim;23;21 a 30;16/04/2025;0
39651687;27/10/2024;03/10/1981;Não;Sim;Não;43;41 a 50;23/01/2025;88
40403187;05/02/2025;14/09/1986;Não;Sim;Sim;38;31 a 40;05/02/2025;0
39306640;27/02/2024;05/07/1988;Não;Sim;Não;36;31 a 40;30/01/2025;338
39154261;13/01/2024;30/04/1956;Não;Sim;Não;69;>=51;21/01/2025;374
39253491;27/06/2024;13/06/1997;Não;Sim;Não;28;21 a 30;02/01/2025;189
39587678;26/05/2024;06/10/2003;Não;Sim;Não;21;21 a 30;29/04/2025;338
39955089;16/09/2024;30/08/2001;Não;Sim;Não;23;21 a 30;12/04/2025;208
32773099;19/12/2024;11/09/1973;Não;Sim;Sim;51;>=51;27/01/2025;39
40183632;27/11/2024;16/03/1995;Não;Sim;Sim;30;21 a 30;08/01/2025;42
39119185;03/01/2024;30/09/1994;Não;Sim;Não;30;21 a 30;18/01/2025;381
38677298;15/07/2024;22/06/1996;Não;Sim;Não;29;21 a 30;07/01/2025;176
40326856;10/01/2025;19/06/1977;Não;Sim;Não;48;41 a 50;10/01/2025;0
40431537;08/03/2025;28/06/1991;Não;Sim;Não;33;31 a 40;08/03/2025;0
40336888;13/01/2025;10/05/2003;Não;Sim;Não;22;21 a 30;13/01/2025;0
39964733;19/09/2024;15/01/1996;Não;Sim;Não;29;21 a 30;25/02/2025;159
39124576;05/01/2024;26/08/1974;Não;Sim;Não;50;41 a 50;10/01/2025;371
39141566;06/03/2024;07/08/2001;Não;Sim;Não;23;21 a 30;08/02/2025;339
39432775;07/04/2024;30/11/2000;Não;Sim;Não;24;21 a 30;17/01/2025;285
39623568;06/06/2024;24/10/2001;Não;Sim;Não;23;21 a 30;06/02/2025;245
39443973;10/04/2024;23/10/2001;Não;Sim;Não;23;21 a 30;08/01/2025;273
39918673;28/09/2024;21/10/1983;Não;Sim;Não;41;41 a 50;11/01/2025;105
40275573;23/12/2024;28/12/2000;Não;Sim;Não;24;21 a 30;04/01/2025;12
39688550;26/06/2024;21/04/1999;Não;Sim;Não;26;21 a 30;24/01/2025;212
40362187;21/01/2025;13/05/1998;Não;Sim;Não;27;21 a 30;21/01/2025;0
35998226;30/03/2025;21/12/1990;Não;Sim;Não;34;31 a 40;30/03/2025;0
39572507;22/05/2024;23/10/1943;Não;Sim;Sim;81;>=51;22/01/2025;245
39201571;27/01/2024;11/02/1996;Não;Sim;Não;29;21 a 30;10/01/2025;349
39240261;07/02/2024;07/12/1986;Não;Sim;Não;38;31 a 40;03/01/2025;331
36134509;02/04/2025;18/04/2004;Não;Sim;Não;21;21 a 30;03/04/2025;1
40232787;14/01/2025;07/11/2001;Não;Sim;Não;23;21 a 30;14/01/2025;0
40443092;19/02/2025;10/09/1993;Não;Sim;Não;31;31 a 40;19/02/2025;0
